,place,Teams,Goals Against,Goals For,points
0,1,Liverpool,15,61,76
1,2,Manchester City,29,68,57
2,3,Leicester City,27,54,50
3,4,Chelsea,37,45,44
4,5,Manchester United,29,41,41
5,6,Tottenham Hotspur,36,44,40
6,7,Sheffield United,25,29,40
7,8,Wolverhampton Wanderers,32,38,39
8,9,Arsenal,36,39,37
9,10,Burnley,39,33,37
10,11,Everton,41,36,36
11,12,Southampton,48,34,34
12,13,Crystal Palace,32,24,33
13,14,Newcastle United,41,24,31
14,15,Brighton and Hove Albion,39,32,28
15,16,Bournemouth,43,26,26
16,17,Aston Villa,52,34,25
17,18,West Ham United,45,30,24
18,19,Watford,43,24,24
19,20,Norwich City,51,24,18
